id|tituloPincipal|tituloOriginal|anoLancamento|tempoMinutos|genero|notaMedia|numeroVotos|generoArtista|personagem|nomeArtista|anoNascimento|anoFalecimento|profissao|titulosMaisConhecidos
tt1659234|The Wishing Box|The Wishing Box|2011|90|Horror|7.5|21|actress|Mary Roberts|Cara Castronuova|\N|\N|actress,miscellaneous|tt1450324,tt1659234,tt1340624,tt2006766
tt1661821|Daak Bangla|Daak Bangla|2000|90|Horror|4.8|6|actor|\N|Birbal|1938|\N|actor,music_department,miscellaneous|tt0084866,tt0073707,tt0425362,tt0485811
tt1661847|Khopdi: The Skull|Khopdi: The Skull|1999|97|Horror|3.1|12|actor|\N|Shakti Kapoor|1952|\N|actor,music_department|tt0109117,tt0497915,tt0363567,tt0110942
tt1662293|Nothing Left to Fear|Nothing Left to Fear|2013|100|Horror|4.4|5033|actress|Rebecca|Rebekah Brandes|1985|\N|actress,writer,miscellaneous|tt2717870,tt7554606,tt1489428,tt0976014
tt1663696|Torture Chamber|Torture Chamber|2013|90|Horror|2.9|566|actor|Dr. Fiore|Vincent Pastore|1946|\N|actor,producer|tt0365686,tt0106519,tt0141842,tt0307453
tt1665748|Killing Twice: A Deadhunter Chronicle|Killing Twice: A Deadhunter Chronicle|2007|83|Horror|2.5|121|actor|Julián|Julián Lara|\N|\N|director,producer,writer|tt10549434,tt5102824,tt11041042,tt1513926
tt1666188|Lilith|Lilith|2011|98|Horror|5.8|130|actress|Sarah|Julia Voth|1985|\N|actress,producer,miscellaneous|tt1213825,tt1212974,tt4698940,tt1832282
tt1666300|The Accursed|Donde duerme el horror|2010|91|Horror|5.0|57|actor|Aguila|José Castro|\N|\N|actor|tt1666300
tt1666329|Road Kill|Road Kill|2014|\N|Horror|5.7|29|actor|Munson|Tony DeGuide|\N|\N|producer,actor,manager|tt18347138,tt12799846,tt0800257,tt2224521
tt1666707|Kai-Ki: Tales of Terror from Tokyo|Kaidan shin mimibukuro: Kaiki|2010|\N|Horror|6.1|59|actress|\N|Naomi Akimoto|1963|\N|actress|tt0470536,tt0160923,tt0468879,tt0498306
tt1667457|Mary|Mary|2010|63|Horror|2.9|26|actress|Mary|Trisha Echeverria|\N|\N|actress,producer|tt1756832,tt1667457,tt1844827,tt2287939
tt1669564|Bloody Sin|Bloody Sin|2011|90|Horror|5.3|96|actress|Contessa fohrer|Elda Alvigini|1968|\N|actress|tt0140428,tt0298593,tt0328797,tt0108059
tt1671536|666: The Beginning of the End|666: The Beginning of the End|2009|98|Horror|8.8|208|actor|Mark|Steve Wilcox|\N|\N|actor,producer,writer|tt1322302,tt0118900,tt0103671,tt2387513
tt1672169|Demonica's Reign|Demonica's Reign|2011|90|Horror|6.8|32|actress|Demonica|Nicolette Michaela|\N|\N|actress,producer,writer|tt1821349,tt1158934,tt1672169,tt1235786
tt1672625|Plaster Rock|Plaster Rock|2010|92|Horror|4.6|11|actor|Guy who dies in car|Wayne Duplisea|\N|\N|actor,camera_department,transportation_department|tt1434612,tt1672625
tt16733648|Zehirli Tohumlar|Zehirli Tohumlar|2022|\N|Horror|2.4|7|actress|\N|Esra Isgüzar|\N|\N|actor|tt8402090,tt16733648,tt6973386,tt6536562
tt16751496|The History That Haunts Us|The History That Haunts Us|2022|153|Horror|8.9|10|actor|Young johney boy|Brodyjaymark|\N|\N|actor|tt16751496
tt1675162|Hell's Fever|Hell's Fever|2006|90|Horror|4.1|46|actor|Alex|Joseph Murray|1974|\N|actor,writer|tt0111999,tt0112230,tt0393329,tt14589536
tt16756254|Honeycomb|Honeycomb|2022|70|Horror|3.9|40|actor|P.J.|Henri Gillespi|\N|\N|actor,assistant_director|tt7694496,tt16756254
tt16764180|Zombie Island|Zombie Island|2019|75|Horror|4.2|7|actor|Ronny|Ronny Lay|\N|\N|actor|tt15334040,tt16764180
tt1677609|The Apparition of Roxanne|The Apparition of Roxanne|2010|\N|Horror|6.3|11|actress|Groupie|Lisanne Alack|\N|\N|actress|tt1677609
tt16793192|Gelin|Gelin|2021|65|Horror|5.7|7|actor|Deniz|Alp Tas|\N|\N|actor|tt16793192,tt12700096,tt12377820
tt1680685|Blackwater Farm|Blackwater Farm|2011|88|Horror|4.7|30|actor|Butcher|M.J.J. Cashman|\N|\N|actor|tt1680685,tt0832324,tt0469694,tt1213636
